read_name,chrom,start,end,strand,gff_start,gff_end,gff_strand,product,overlap_bp,sample
8_YCZ4B8_8,NC_014532.2,666087,669929,+,665042,666619,-,bifunctional GNAT family N-acetyltransferase/carbon-nitrogen hydrolase family protein,532,YCZ4B8_8_m.S.00195.overlaps
8_YCZ4B8_8,NC_014532.2,666087,669929,+,666690,667610,-,DMT family transporter,921,YCZ4B8_8_m.S.00195.overlaps
8_YCZ4B8_8,NC_014532.2,666087,669929,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_8_m.S.00195.overlaps
8_YCZ4B8_8,NC_014532.2,666087,669929,+,669563,671095,-,choline-sulfatase,367,YCZ4B8_8_m.S.00195.overlaps
0_YCZ4B8_8,NC_014532.2,667101,669543,+,666690,667610,-,DMT family transporter,509,YCZ4B8_8_m.S.00195.overlaps
0_YCZ4B8_8,NC_014532.2,667101,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_8_m.S.00195.overlaps
6_YCZ4B8_8,NC_014532.2,667101,669543,+,666690,667610,-,DMT family transporter,509,YCZ4B8_8_m.S.00195.overlaps
6_YCZ4B8_8,NC_014532.2,667101,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_8_m.S.00195.overlaps
13_YCZ4B8_8,NC_014532.2,667101,667417,+,666690,667610,-,DMT family transporter,316,YCZ4B8_8_m.S.00195.overlaps
26_YCZ4B8_8,NC_014532.2,667101,668431,+,666690,667610,-,DMT family transporter,509,YCZ4B8_8_m.S.00195.overlaps
26_YCZ4B8_8,NC_014532.2,667101,668431,+,667718,669367,-,BCCT family transporter,714,YCZ4B8_8_m.S.00195.overlaps
28_YCZ4B8_8,NC_014532.2,667101,667477,+,666690,667610,-,DMT family transporter,376,YCZ4B8_8_m.S.00195.overlaps
30_YCZ4B8_8,NC_014532.2,667101,669051,+,666690,667610,-,DMT family transporter,509,YCZ4B8_8_m.S.00195.overlaps
30_YCZ4B8_8,NC_014532.2,667101,669051,+,667718,669367,-,BCCT family transporter,1334,YCZ4B8_8_m.S.00195.overlaps
31_YCZ4B8_8,NC_014532.2,667101,669543,+,666690,667610,-,DMT family transporter,509,YCZ4B8_8_m.S.00195.overlaps
31_YCZ4B8_8,NC_014532.2,667101,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_8_m.S.00195.overlaps
2_YCZ4B8_8,NC_014532.2,667101,669543,-,666690,667610,-,DMT family transporter,509,YCZ4B8_8_m.S.00195.overlaps
2_YCZ4B8_8,NC_014532.2,667101,669543,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_8_m.S.00195.overlaps
