read_name,chrom,start,end,strand,gff_start,gff_end,gff_strand,product,overlap_bp,sample
7_YCZ4B8_2,NC_014532.2,257058,258047,+,256703,257476,-,FCD domain-containing protein,418,YCZ4B8_2_m.S.00171.overlaps
7_YCZ4B8_2,NC_014532.2,257058,258047,+,257783,258937,+,FMN-dependent L-lactate dehydrogenase LldD,265,YCZ4B8_2_m.S.00171.overlaps
18_YCZ4B8_2,NC_014532.2,264062,265244,+,265061,266044,+,biotin--[acetyl-CoA-carboxylase] ligase,184,YCZ4B8_2_m.S.00171.overlaps
60_YCZ4B8_2,NC_014532.2,464064,464765,+,463853,464377,-,YgjV family protein,313,YCZ4B8_2_m.S.00171.overlaps
60_YCZ4B8_2,NC_014532.2,464064,464765,+,464438,466087,-,acyl-CoA dehydrogenase family protein,328,YCZ4B8_2_m.S.00171.overlaps
90_YCZ4B8_2,NC_014532.2,498760,499266,+,498685,499608,-,LysR family transcriptional regulator,506,YCZ4B8_2_m.S.00171.overlaps
2_YCZ4B8_2,NC_014532.2,529530,529952,-,528150,529904,+,type I secretion system permease/ATPase,374,YCZ4B8_2_m.S.00171.overlaps
69_YCZ4B8_2,NC_014532.2,576002,576462,+,575940,577274,-,TRAP transporter large permease,460,YCZ4B8_2_m.S.00171.overlaps
95_YCZ4B8_2,NC_014532.2,590776,592509,+,590864,591811,-,LysR family transcriptional regulator,948,YCZ4B8_2_m.S.00171.overlaps
95_YCZ4B8_2,NC_014532.2,590776,592509,+,591971,593470,+,CoA-acylating methylmalonate-semialdehyde dehydrogenase,539,YCZ4B8_2_m.S.00171.overlaps
55_YCZ4B8_2,NC_014532.2,614973,615866,-,614523,615416,+,LysR substrate-binding domain-containing protein,443,YCZ4B8_2_m.S.00171.overlaps
55_YCZ4B8_2,NC_014532.2,614973,615866,-,615480,616439,+,LysR family transcriptional regulator,387,YCZ4B8_2_m.S.00171.overlaps
5_YCZ4B8_2,NC_014532.2,719057,720326,-,718404,719906,-,tripartite tricarboxylate transporter permease,849,YCZ4B8_2_m.S.00171.overlaps
5_YCZ4B8_2,NC_014532.2,719057,720326,-,719920,720366,-,tripartite tricarboxylate transporter TctB family protein,407,YCZ4B8_2_m.S.00171.overlaps
71_YCZ4B8_2,NC_014532.2,720329,721223,-,719920,720366,-,tripartite tricarboxylate transporter TctB family protein,37,YCZ4B8_2_m.S.00171.overlaps
71_YCZ4B8_2,NC_014532.2,720329,721223,-,720363,721349,-,tripartite tricarboxylate transporter substrate binding protein,861,YCZ4B8_2_m.S.00171.overlaps
96_YCZ4B8_2,NC_014532.2,828164,828791,-,827990,828637,+,NUDIX domain-containing protein,473,YCZ4B8_2_m.S.00171.overlaps
96_YCZ4B8_2,NC_014532.2,828164,828791,-,828639,829085,+,DUF1249 domain-containing protein,153,YCZ4B8_2_m.S.00171.overlaps
92_YCZ4B8_2,NC_014532.2,869827,871273,-,870284,871864,+,BCCT family transporter,990,YCZ4B8_2_m.S.00171.overlaps
74_YCZ4B8_2,NC_014532.2,896612,897221,-,896747,897205,+,nucleoside deaminase,459,YCZ4B8_2_m.S.00171.overlaps
53_YCZ4B8_2,NC_014532.2,1053574,1054014,+,1053542,1054996,-,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,440,YCZ4B8_2_m.S.00171.overlaps
33_YCZ4B8_2,NC_014532.2,1251037,1251730,+,1250965,1252560,-,hypothetical protein,693,YCZ4B8_2_m.S.00171.overlaps
4_YCZ4B8_2,NC_014532.2,1251850,1252989,-,1250965,1252560,-,hypothetical protein,710,YCZ4B8_2_m.S.00171.overlaps
4_YCZ4B8_2,NC_014532.2,1251850,1252989,-,1252560,1253150,-,terminase small subunit,430,YCZ4B8_2_m.S.00171.overlaps
103_YCZ4B8_2,NC_014532.2,1327811,1328205,+,1328017,1328343,-,hypothetical protein,189,YCZ4B8_2_m.S.00171.overlaps
8_YCZ4B8_2,NC_014532.2,1656197,1657207,+,1655218,1656240,-,imelysin family protein,43,YCZ4B8_2_m.S.00171.overlaps
8_YCZ4B8_2,NC_014532.2,1656197,1657207,+,1656252,1657661,-,di-heme oxidoredictase family protein,956,YCZ4B8_2_m.S.00171.overlaps
102_YCZ4B8_2,NC_014532.2,1705534,1705746,-,1705368,1706024,+,TetR/AcrR family transcriptional regulator,212,YCZ4B8_2_m.S.00171.overlaps
88_YCZ4B8_2,NC_014532.2,1732350,1732687,+,1731274,1732416,+,ABC transporter ATP-binding protein,66,YCZ4B8_2_m.S.00171.overlaps
88_YCZ4B8_2,NC_014532.2,1732350,1732687,+,1732426,1733103,+,HAD family phosphatase,262,YCZ4B8_2_m.S.00171.overlaps
44_YCZ4B8_2,NC_014532.2,1763802,1765209,-,1763204,1764223,+,phenylalanine--tRNA ligase subunit alpha,421,YCZ4B8_2_m.S.00171.overlaps
44_YCZ4B8_2,NC_014532.2,1763802,1765209,-,1764391,1766769,+,phenylalanine--tRNA ligase subunit beta,819,YCZ4B8_2_m.S.00171.overlaps
85_YCZ4B8_2,NC_014532.2,1815303,1815702,+,1815286,1815825,+,peptidoglycan-associated lipoprotein Pal,399,YCZ4B8_2_m.S.00171.overlaps
57_YCZ4B8_2,NC_014532.2,1948974,1949395,-,1947996,1949411,-,arginine-ornithine antiporter,421,YCZ4B8_2_m.S.00171.overlaps
78_YCZ4B8_2,NC_014532.2,2341924,2342350,+,2341712,2342341,-,riboflavin synthase,417,YCZ4B8_2_m.S.00171.overlaps
64_YCZ4B8_2,NC_014532.2,2462966,2464355,+,2462519,2464009,-,ATP-binding protein,1043,YCZ4B8_2_m.S.00171.overlaps
64_YCZ4B8_2,NC_014532.2,2462966,2464355,+,2464006,2464731,-,response regulator,350,YCZ4B8_2_m.S.00171.overlaps
30_YCZ4B8_2,NC_014532.2,2619312,2619600,+,2619173,2620186,+,CmpA/NrtA family ABC transporter substrate-binding protein,288,YCZ4B8_2_m.S.00171.overlaps
106_YCZ4B8_2,NC_014532.2,2643035,2643477,+,2642829,2643965,+,MFS transporter,442,YCZ4B8_2_m.S.00171.overlaps
105_YCZ4B8_2,NC_014532.2,2643035,2643474,-,2642829,2643965,+,MFS transporter,439,YCZ4B8_2_m.S.00171.overlaps
