read_name,chrom,start,end,strand,gff_start,gff_end,gff_strand,product,overlap_bp,sample
0_YCZ4B8_11,NC_014532.2,667101,667428,+,666690,667610,-,DMT family transporter,327,YCZ4B8_11_m.S.00207.overlaps
6_YCZ4B8_11,NC_014532.2,667101,669543,+,666690,667610,-,DMT family transporter,509,YCZ4B8_11_m.S.00207.overlaps
6_YCZ4B8_11,NC_014532.2,667101,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
7_YCZ4B8_11,NC_014532.2,667101,669543,+,666690,667610,-,DMT family transporter,509,YCZ4B8_11_m.S.00207.overlaps
7_YCZ4B8_11,NC_014532.2,667101,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
8_YCZ4B8_11,NC_014532.2,667101,669543,+,666690,667610,-,DMT family transporter,509,YCZ4B8_11_m.S.00207.overlaps
8_YCZ4B8_11,NC_014532.2,667101,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
2_YCZ4B8_11,NC_014532.2,667101,669049,-,666690,667610,-,DMT family transporter,509,YCZ4B8_11_m.S.00207.overlaps
2_YCZ4B8_11,NC_014532.2,667101,669049,-,667718,669367,-,BCCT family transporter,1332,YCZ4B8_11_m.S.00207.overlaps
5_YCZ4B8_11,NC_014532.2,667101,668695,-,666690,667610,-,DMT family transporter,509,YCZ4B8_11_m.S.00207.overlaps
5_YCZ4B8_11,NC_014532.2,667101,668695,-,667718,669367,-,BCCT family transporter,978,YCZ4B8_11_m.S.00207.overlaps
10_YCZ4B8_11,NC_014532.2,667101,669543,-,666690,667610,-,DMT family transporter,509,YCZ4B8_11_m.S.00207.overlaps
10_YCZ4B8_11,NC_014532.2,667101,669543,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
12_YCZ4B8_11,NC_014532.2,667101,667446,-,666690,667610,-,DMT family transporter,345,YCZ4B8_11_m.S.00207.overlaps
15_YCZ4B8_11,NC_014532.2,667107,669543,-,666690,667610,-,DMT family transporter,503,YCZ4B8_11_m.S.00207.overlaps
15_YCZ4B8_11,NC_014532.2,667107,669543,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
14_YCZ4B8_11,NC_014532.2,667112,667930,+,666690,667610,-,DMT family transporter,498,YCZ4B8_11_m.S.00207.overlaps
14_YCZ4B8_11,NC_014532.2,667112,667930,+,667718,669367,-,BCCT family transporter,213,YCZ4B8_11_m.S.00207.overlaps
1_YCZ4B8_11,NC_014532.2,667112,669543,-,666690,667610,-,DMT family transporter,498,YCZ4B8_11_m.S.00207.overlaps
1_YCZ4B8_11,NC_014532.2,667112,669543,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
4_YCZ4B8_11,NC_014532.2,667121,669543,+,666690,667610,-,DMT family transporter,489,YCZ4B8_11_m.S.00207.overlaps
4_YCZ4B8_11,NC_014532.2,667121,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
3_YCZ4B8_11,NC_014532.2,667132,669543,-,666690,667610,-,DMT family transporter,478,YCZ4B8_11_m.S.00207.overlaps
3_YCZ4B8_11,NC_014532.2,667132,669543,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
12_YCZ4B8_11,NC_014532.2,667462,669543,-,666690,667610,-,DMT family transporter,148,YCZ4B8_11_m.S.00207.overlaps
12_YCZ4B8_11,NC_014532.2,667462,669543,-,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
0_YCZ4B8_11,NC_014532.2,667592,669543,+,666690,667610,-,DMT family transporter,18,YCZ4B8_11_m.S.00207.overlaps
0_YCZ4B8_11,NC_014532.2,667592,669543,+,667718,669367,-,BCCT family transporter,1650,YCZ4B8_11_m.S.00207.overlaps
9_YCZ4B8_11,NC_014532.2,667648,668002,-,667718,669367,-,BCCT family transporter,285,YCZ4B8_11_m.S.00207.overlaps
14_YCZ4B8_11,NC_014532.2,668020,669543,+,667718,669367,-,BCCT family transporter,1347,YCZ4B8_11_m.S.00207.overlaps
5_YCZ4B8_11,NC_014532.2,668725,669543,-,667718,669367,-,BCCT family transporter,642,YCZ4B8_11_m.S.00207.overlaps
2_YCZ4B8_11,NC_014532.2,669089,669543,-,667718,669367,-,BCCT family transporter,278,YCZ4B8_11_m.S.00207.overlaps
